Date,Open,High,Low,Close,Adj Close,Volume
2013-05-28,1.511190,1.513180,1.503601,1.510894,1.510894,0
2013-05-29,1.502630,1.514142,1.501073,1.502607,1.502607,0
2013-05-30,1.513294,1.521723,1.511236,1.513134,1.513134,0
2013-05-31,1.523090,1.523926,1.514371,1.522905,1.522905,0
2013-06-03,1.520820,1.537586,1.519803,1.520913,1.520913,0
2013-06-04,1.532403,1.534260,1.527604,1.532144,1.532144,0
2013-06-05,1.530503,1.540262,1.529403,1.530386,1.530386,0
2013-06-06,1.540310,1.560696,1.538485,1.540334,1.540334,0
2013-06-07,1.560135,1.561768,1.548923,1.560257,1.560257,0
2013-06-10,1.553205,1.557293,1.550099,1.553109,1.553109,0
2013-06-11,1.553205,1.564162,1.550099,1.553109,1.553109,0
2013-06-12,1.553205,1.569292,1.550099,1.553109,1.553109,0
2013-06-13,1.568111,1.573069,1.564774,1.568135,1.568135,0
2013-06-14,1.571388,1.571907,1.561768,1.571388,1.571388,0
2013-06-17,1.572278,1.575200,1.569243,1.572302,1.572302,0
2013-06-18,1.571808,1.572327,1.556711,1.571783,1.571783,0
2013-06-19,1.563599,1.567791,1.560549,1.563697,1.563697,0
2013-06-20,1.548203,1.548779,1.541830,1.548251,1.548251,0
2013-06-21,1.551711,1.552795,1.537066,1.551711,1.551711,0
2013-06-24,1.539006,1.543210,1.534590,1.538911,1.538911,0
2013-06-25,1.544759,1.547389,1.540002,1.544735,1.544735,0
2013-06-26,1.541402,1.544211,1.531910,1.541687,1.541687,0
2013-06-27,1.532544,1.534684,1.520774,1.532591,1.532591,0
2013-06-28,1.525995,1.528001,1.516829,1.525832,1.525832,0
2013-07-01,1.520612,1.524995,1.518511,1.520473,1.520473,0
2013-07-02,1.520913,1.523902,1.514303,1.521653,1.521653,0
2013-07-03,1.515312,1.529730,1.513157,1.515289,1.515289,0
2013-07-04,1.527231,1.528398,1.506319,1.527440,1.527440,0
2013-07-05,1.504053,1.505616,1.486503,1.503895,1.503895,0
2013-07-08,1.487896,1.494679,1.486105,1.487940,1.487940,0
2013-07-09,1.495215,1.497993,1.481899,1.495372,1.495372,0
2013-07-10,1.486039,1.494500,1.484803,1.486149,1.486149,0
2013-07-11,1.517865,1.517865,1.506342,1.518003,1.518003,0
2013-07-12,1.517750,1.518903,1.507909,1.517865,1.517865,0
2013-07-15,1.510300,1.512631,1.503240,1.510369,1.510369,0
2013-07-16,1.509913,1.514303,1.504597,1.510004,1.510004,0
2013-07-17,1.513867,1.526368,1.508273,1.513844,1.513844,0
2013-07-18,1.520913,1.523879,1.515955,1.520982,1.520982,0
2013-07-19,1.522209,1.528001,1.520011,1.522209,1.522209,0
2013-07-22,1.528608,1.538604,1.526671,1.528491,1.528491,0
2013-07-23,1.536500,1.537965,1.532779,1.536523,1.536523,0
2013-07-24,1.537468,1.538651,1.531933,1.537492,1.537492,0
2013-07-25,1.530831,1.538130,1.527114,1.530854,1.530854,0
2013-07-26,1.538083,1.541711,1.536004,1.538177,1.538177,0
2013-07-29,1.539196,1.541402,1.533201,1.539243,1.539243,0
2013-07-30,1.534189,1.535320,1.524390,1.534166,1.534166,0
2013-07-31,1.524204,1.524413,1.513294,1.524204,1.524204,0
2013-08-01,1.517589,1.524135,1.513592,1.517497,1.517497,0
2013-08-02,1.511990,1.530480,1.510620,1.512036,1.512036,0
2013-08-05,1.529075,1.537728,1.526694,1.528725,1.528725,0
2013-08-06,1.535320,1.538983,1.533390,1.535391,1.535391,0
2013-08-07,1.534495,1.552819,1.523113,1.534495,1.534495,0
2013-08-08,1.549307,1.557244,1.548707,1.549691,1.549691,0
2013-08-09,1.553808,1.555912,1.550051,1.553591,1.553591,0
2013-08-12,1.551590,1.551952,1.546503,1.551398,1.551398,0
2013-08-13,1.545691,1.548731,1.543234,1.545810,1.545810,0
2013-08-14,1.545094,1.554388,1.542734,1.545070,1.545070,0
2013-08-15,1.551759,1.559381,1.551109,1.551614,1.551614,0
2013-08-16,1.563966,1.565288,1.561110,1.564211,1.564211,0
2013-08-19,1.562622,1.567324,1.561012,1.562500,1.562500,0
2013-08-20,1.564749,1.569391,1.563159,1.564896,1.564896,0
2013-08-21,1.566441,1.569908,1.565435,1.566392,1.566392,0
2013-08-22,1.561743,1.562476,1.556420,1.561670,1.561670,0
2013-08-23,1.559697,1.563893,1.554291,1.559722,1.559722,0
2013-08-26,1.558021,1.561110,1.555960,1.558094,1.558094,0
2013-08-27,1.558312,1.559211,1.548395,1.558482,1.558482,0
2013-08-28,1.554606,1.554799,1.544903,1.554799,1.554799,0
2013-08-29,1.552771,1.554968,1.548635,1.552747,1.552747,0
2013-08-30,1.550628,1.552699,1.546432,1.550652,1.550652,0
2013-09-02,1.551903,1.558992,1.550748,1.551903,1.551903,0
2013-09-03,1.554726,1.559892,1.552482,1.554702,1.554702,0
2013-09-04,1.556299,1.564553,1.555766,1.556372,1.556372,0
2013-09-05,1.562183,1.566760,1.557560,1.562207,1.562207,0
2013-09-06,1.558992,1.567103,1.556662,1.558992,1.558992,0
2013-09-09,1.563233,1.573168,1.562988,1.563599,1.563599,0
2013-09-10,1.569859,1.572995,1.568627,1.569760,1.569760,0
2013-09-11,1.573143,1.581653,1.571981,1.573292,1.573292,0
2013-09-12,1.582454,1.584008,1.579005,1.582604,1.582604,0
2013-09-13,1.580603,1.587503,1.577810,1.580453,1.580453,0
2013-09-16,1.593753,1.596398,1.591799,1.593626,1.593626,0
2013-09-17,1.590407,1.593143,1.588891,1.590306,1.590306,0
2013-09-18,1.590508,1.597955,1.589421,1.590508,1.590508,0
2013-09-19,1.613372,1.614726,1.604235,1.613320,1.613320,0
2013-09-20,1.603644,1.606787,1.599002,1.603798,1.603798,0
2013-09-23,1.601768,1.607071,1.601512,1.601691,1.601691,0
2013-09-24,1.603849,1.604312,1.595762,1.604158,1.604158,0
2013-09-25,1.599514,1.607821,1.598057,1.599591,1.599591,0
2013-09-26,1.607562,1.609606,1.600358,1.607381,1.607381,0
2013-09-27,1.603875,1.613892,1.603207,1.603746,1.603746,0
2013-09-30,1.616867,1.619512,1.613189,1.616893,1.616893,0
2013-10-01,1.618883,1.625911,1.618568,1.618699,1.618699,0
2013-10-02,1.619302,1.625039,1.616501,1.619223,1.619223,0
2013-10-03,1.623693,1.624194,1.615822,1.623561,1.623561,0
2013-10-04,1.615770,1.617809,1.603669,1.615692,1.615692,0
2013-10-07,1.604107,1.609684,1.602718,1.603592,1.603592,0
2013-10-08,null,null,null,null,null,null
2013-10-09,1.611811,1.611811,1.592458,1.612097,1.612097,0
2013-10-10,1.596195,1.597725,1.591672,1.595507,1.595507,0
2013-10-11,1.597597,1.600026,1.593600,1.598006,1.598006,0
2013-10-14,1.596781,1.601691,1.595685,1.597112,1.597112,0
2013-10-15,1.597189,1.600743,1.591850,1.597189,1.597189,0
2013-10-16,1.598389,1.604750,1.589926,1.598466,1.598466,0
2013-10-17,1.594540,1.617102,1.594337,1.594388,1.594388,0
2013-10-18,1.615039,1.622507,1.614440,1.614935,1.614935,0
2013-10-21,1.617050,1.618306,1.613346,1.617207,1.617207,0
2013-10-22,1.613320,1.622560,1.611993,1.613528,1.613528,0
2013-10-23,1.623218,1.625567,1.612591,1.623271,1.623271,0
2013-10-24,1.616606,1.622297,1.614205,1.616371,1.616371,0
2013-10-25,1.620089,1.624089,1.615300,1.620089,1.620089,0
2013-10-28,1.617312,1.620903,1.612591,1.617390,1.617390,0
2013-10-29,1.614075,1.614231,1.605858,1.614179,1.614179,0
2013-10-30,1.604827,1.607588,1.602590,1.604827,1.604827,0
2013-10-31,1.602590,1.606503,1.600743,1.602615,1.602615,0
2013-11-01,1.604390,1.604467,1.591824,1.604467,1.604467,0
2013-11-04,1.592281,1.598006,1.590508,1.592382,1.592382,0
2013-11-05,1.597265,1.606426,1.595380,1.597240,1.597240,0
2013-11-06,1.604493,1.611578,1.604493,1.604802,1.604802,0
2013-11-07,1.608596,1.609192,1.601076,1.608545,1.608545,0
2013-11-08,1.609010,1.610591,1.595940,1.608881,1.608881,0
2013-11-11,1.600410,1.602307,1.596806,1.600487,1.600487,0
2013-11-12,1.598644,1.599309,1.585515,1.598696,1.598696,0
2013-11-13,1.589219,1.599488,1.588234,1.589092,1.589092,0
2013-11-14,1.604390,1.609787,1.598951,1.604905,1.604905,0
2013-11-15,1.605497,1.613241,1.605265,1.605807,1.605807,0
2013-11-18,1.611396,1.614961,1.609451,1.611396,1.611396,0
2013-11-19,1.611318,1.613007,1.606219,1.611526,1.611526,0
2013-11-20,1.613502,1.617913,1.610539,1.613892,1.613892,0
2013-11-21,1.610202,1.614648,1.607588,1.610021,1.610021,0
2013-11-22,1.618306,1.621771,1.618228,1.618699,1.618699,0
2013-11-25,1.623324,1.623693,1.615718,1.623113,1.623113,0
2013-11-26,1.617286,1.619407,1.614231,1.616710,1.616710,0
2013-11-27,1.621061,1.633106,1.619932,1.620982,1.620982,0
2013-11-28,1.628373,1.635724,1.627816,1.628293,1.628293,0
2013-11-29,1.634067,1.637331,1.631534,1.634094,1.634094,0
2013-12-02,1.637841,1.643926,1.634788,1.637787,1.637787,0
2013-12-03,1.635858,1.643683,1.634868,1.635992,1.635992,0
2013-12-04,1.638995,1.639909,1.633026,1.638888,1.638888,0
2013-12-05,1.637841,1.640528,1.631188,1.637814,1.637814,0
2013-12-06,1.633133,1.639344,1.630816,1.633400,1.633400,0
2013-12-09,1.632866,1.639506,1.632520,1.632893,1.632893,0
2013-12-10,1.642468,1.646497,1.642090,1.642522,1.642522,0
2013-12-11,1.645901,1.645901,1.634174,1.645576,1.645576,0
2013-12-12,1.637707,1.641767,1.632706,1.637626,1.637626,0
2013-12-13,1.633987,1.636126,1.626519,1.633987,1.633987,0
2013-12-16,1.630178,1.634868,1.629381,1.630497,1.630497,0
2013-12-17,1.630284,1.633667,1.622692,1.629965,1.629965,0
2013-12-18,1.627657,1.640420,1.627339,1.627790,1.627790,0
2013-12-19,1.638270,1.639613,1.633720,1.638700,1.638700,0
2013-12-20,1.636608,1.639479,1.631907,1.636474,1.636474,0
2013-12-23,1.633000,1.637519,1.633000,1.633160,1.633160,0
2013-12-24,1.635109,1.638189,1.632600,1.635029,1.635029,0
2013-12-25,1.637090,1.637707,1.634387,1.637090,1.637090,0
2013-12-26,1.635109,1.643709,1.635109,1.635403,1.635403,0
2013-12-27,1.641551,1.657413,1.640958,1.641632,1.641632,0
2013-12-30,1.648152,1.653002,1.646226,1.648234,1.648234,0
2013-12-31,1.649158,1.655519,1.647636,1.649512,1.649512,0
2014-01-01,1.656397,1.656397,1.656397,1.656397,1.656397,0
2014-01-02,1.657660,1.660495,1.642387,1.658072,1.658072,0
2014-01-03,1.645007,1.647501,1.640070,1.644791,1.644791,0
2014-01-06,1.641201,1.643304,1.634254,1.641309,1.641309,0
2014-01-07,1.641497,1.643548,1.637546,1.641794,1.641794,0
2014-01-08,1.640043,1.647311,1.637894,1.640016,1.640016,0
2014-01-09,1.644602,1.649403,1.644331,1.644710,1.644710,0
2014-01-10,1.647772,1.651310,1.638404,1.647908,1.647908,0
2014-01-13,1.649512,1.651010,1.635323,1.649430,1.649430,0
2014-01-14,1.639291,1.646199,1.636929,1.638995,1.638995,0
2014-01-15,1.643548,1.643980,1.632520,1.643412,1.643412,0
2014-01-16,1.636447,1.637626,1.632307,1.636179,1.636179,0
